densite;densite_hg;densite_hd;densite_bg;densite_bd;densite_h;densite_b;densite_g;densite_d;x_inter;y_inter;size_x;size_y;label
0.3359375;0.40310077519379844;0.4573643410852713;0.10852713178294573;0.40310077519379844;0.7906976744186046;0.4728682170542636;0.40310077519379844;0.6666666666666666;0.6;0.4;0.016;0.024;9_dataset_133.png
0.3269230769230769;0.35294117647058826;0.5294117647058824;0.25882352941176473;0.36470588235294116;0.788235294117647;0.4470588235294118;0.49411764705882355;0.7411764705882353;0.4;0.6;0.013;0.02;9_dataset_655.png
0.3246753246753247;0.4;0.48;0.32;0.41333333333333333;0.7466666666666667;0.5866666666666667;0.52;0.7066666666666667;0.4;0.6;0.011;0.021;9_dataset_4804.png
0.34710743801652894;0.40476190476190477;0.4166666666666667;0.34523809523809523;0.38095238095238093;0.7261904761904762;0.6071428571428571;0.5833333333333334;0.5833333333333334;0.2;0.6;0.011;0.022;9_dataset_4810.png
0.34375;0.41818181818181815;0.509090909090909;0.19090909090909092;0.38181818181818183;0.8363636363636363;0.5272727272727272;0.41818181818181815;0.6727272727272727;0.4;0.4;0.016;0.02;9_dataset_641.png
0.3333333333333333;0.35454545454545455;0.5;0.2818181818181818;0.38181818181818183;0.7545454545454545;0.5454545454545454;0.4636363636363636;0.7;0.4;0.6;0.015;0.022;9_dataset_1968.png
0.246875;0.43037974683544306;0.46835443037974683;0.189873417721519;0.34177215189873417;0.8227848101265823;0.4810126582278481;0.43037974683544306;0.6455696202531646;0.4;0.4;0.016;0.02;9_dataset_899.png
0.4153846153846154;0.4166666666666667;0.5185185185185185;0.14814814814814814;0.3611111111111111;0.8055555555555556;0.4074074074074074;0.48148148148148145;0.7129629629629629;0.2;0.6;0.013;0.02;9_dataset_127.png
0.3952380952380952;0.4457831325301205;0.5060240963855421;0.16265060240963855;0.3614457831325301;0.8072289156626506;0.46987951807228917;0.4457831325301205;0.6987951807228916;0.6;0.4;0.02;0.021;9_dataset_3819.png
0.49583333333333335;0.3697478991596639;0.42016806722689076;0.3025210084033613;0.37815126050420167;0.7142857142857143;0.5882352941176471;0.4957983193277311;0.6302521008403361;0.2;0.6;0.012;0.02;9_dataset_26.png
0.2727272727272727;0.38095238095238093;0.49206349206349204;0.1746031746031746;0.42857142857142855;0.7619047619047619;0.5555555555555556;0.38095238095238093;0.7301587301587301;0.4;0.4;0.011;0.021;9_dataset_3831.png
0.5;0.38181818181818183;0.5272727272727272;0.24545454545454545;0.38181818181818183;0.7727272727272727;0.4909090909090909;0.4818181818181818;0.7454545454545455;0.2;0.6;0.011;0.02;9_dataset_5298.png
0.32857142857142857;0.4492753623188406;0.4782608695652174;0.2898550724637681;0.2608695652173913;0.782608695652174;0.42028985507246375;0.6231884057971014;0.6376811594202898;0.2;0.6;0.01;0.021;9_dataset_4186.png
